timestamp,accX,accY,accZ,anvX,anvY,anvZ
13600,-1.33,-9.56,-1.8,-0.29,-0.23,-0.26
13700,-0.7,-9.79,-2.05,-0.2,-0.2,-0.08
13800,-0.69,-10.05,-2.58,-0.09,-0.08,-0.01
13900,-1.43,-10.15,-2.74,-0.1,-0.32,0.17
14000,-1.02,-9.87,-2.61,-0.12,-0.14,0.33
14100,-1.95,-9.76,-1.44,0.06,0.14,0.31
14200,-0.44,-9.44,-1.93,0.01,0.46,-0.11
14300,-1,-9.7,-1.98,-0.05,0.26,0.14
14400,-1.49,-9.52,-1.68,0.2,0.39,0.33
14500,-0.89,-9.58,-2.79,0.05,0.38,0.09
14600,-2.25,-9.39,-2.34,-0.09,0.11,0.25
14700,-1.89,-9.73,-2.85,0.15,0.09,0.23
14800,-2.52,-9.7,-3,-0.04,-0.03,0.05
14900,-2.61,-9.45,-3.06,-0.13,0.04,0.11
15000,-2.47,-9.52,-2.93,-0.14,-0.13,0.2
15100,-2.43,-9.22,-2.79,-0.12,-0.17,0.04
15200,-2.54,-9.25,-2.77,-0.14,-0.52,-0.08
15300,-2.59,-9.29,-2.42,-0.21,-0.19,-0.15
15400,-2.67,-9.06,-2.59,-0.17,-0.23,-0.16
15500,-2.63,-9.59,-2.6,-0.1,-0.13,-0.32
15600,-2.48,-9.45,-3.05,-0.01,0.14,-0.2
15700,-1.94,-9.6,-2.93,-0.11,-0.08,-0.24
15800,-2.06,-9.59,-2.91,-0.22,0.46,-0.14
15900,-1.55,-9.17,-2.43,-0.09,0.32,-0.08
16000,-1.17,-9.59,-2.88,-0.04,-0.18,-0.02
16100,-1.19,-10.01,-3.4,-0.1,0.04,-0.17
16200,-1.5,-9.72,-4.65,-0.09,-0.28,0.07
16300,-0.56,-9.59,-2.63,0.12,0.14,-0.33
16400,-0.56,-9.66,-2.96,0.17,-0.01,0.05
16500,-0.36,-9.8,-2.04,0.3,0.23,0.07
16600,-0.64,-9.93,-3.23,0.15,0.24,0.21
16700,-1.73,-10.03,-2.37,0.15,-0.1,0.43
16800,-1.89,-9.72,-1.75,0.04,-0.18,0.4
16900,-1.44,-9.96,-2.36,-0.01,0.19,0.09
17000,-1.64,-9.91,-1.97,0.01,0.07,0.34
17100,-1.91,-9.68,-1.66,-0.03,-0.18,0.24
17200,-2.16,-9.3,-1.61,0.04,0.27,0.36
17300,-1.98,-9.79,-2.07,0.02,0.28,0.07
17400,-1.2,-9.61,-2.24,0.23,0.19,0.4
17500,-1.87,-9.59,-2.05,0.22,0.26,0.12
17600,-2.81,-9.69,-2.37,0.05,0,-0.08
17700,-2.21,-9.57,-2.27,0.01,-0.1,-0.12
17800,-1.85,-9.6,-1.67,-0.06,-0.24,-0.34
17900,-1.31,-9.47,-1.55,-0.01,-0.01,-0.3
18000,-1.74,-9.68,-1.17,0.02,0.2,-0.12
18100,-1.61,-9.7,-1.25,0.04,0.09,-0.2
18200,-1.04,-9.67,-0.98,0.06,-0.09,-0.2
18300,-1.13,-9.76,-1.1,0.06,0.3,-0.3
18400,-0.89,-9.48,-1.1,-0.05,-0.2,-0.06
18500,-0.74,-9.98,-1.24,0,0.03,-0.21
18600,-0.92,-9.79,-1.46,-0.01,0.01,-0.13
18700,-1.01,-9.82,-1.07,0,-0.08,-0.05
18800,-1.27,-10.1,-1.08,0.03,0.04,0.1
18900,-1,-10.13,-1.38,0.02,-0.06,0.14
19000,-0.94,-10.21,-1.12,-0.01,0.01,0.14
19100,-1.66,-9.87,-1.13,-0.1,0.35,0.15
19200,-0.89,-9.9,-0.98,-0.06,0.32,0.24
19300,-1.03,-9.97,-1.42,-0.1,0.19,0.13
19400,-1.13,-9.72,-0.89,0.13,0.33,0.25
19500,-1.92,-9.77,-1.4,0.07,0.3,0.28
19600,-1.84,-9.92,-1.68,-0.02,0.28,0.05
19700,-2.11,-9.73,-1.63,0.03,0.02,0.12
19800,-2.35,-9.64,-1.49,-0.04,0.07,0.16
