timestamp,accX,accY,accZ,anvX,anvY,anvZ
18000,0.92,-9.89,-0.54,0.05,0.21,-0.22
18100,1.12,-11.83,-0.58,0.03,0.35,0.09
18200,0.32,-10.16,-1.26,-0.33,0.07,0.06
18300,0.11,-8.78,-1.79,-0.17,0.45,0.11
18400,-0.23,-8.65,-1.46,-0.39,0.39,-0.23
18500,-0.17,-9.33,-1.25,0.24,0.5,-0.01
18600,0.04,-9.43,-1.19,0.18,0.53,-0.07
18700,0.26,-9.94,-0.47,-0.14,0.33,0.01
18800,0.63,-10.11,-1.01,0.21,0.22,0.08
18900,0.8,-10.21,-0.74,-0.03,0.1,-0.17
19000,-0.1,-9.75,-0.79,0.17,0.09,0.13
19100,0.63,-9.84,-0.74,0.23,-0.12,-0.04
19200,-0.19,-10.16,-0.34,-0.18,0.09,0.18
19300,0.39,-10.26,-0.54,0.17,0.13,-0.12
19400,0.22,-10.53,0.41,-0.2,0.19,-0.02
19500,0.1,-9.67,-0.03,-0.04,0.17,-0.12
19600,-0.65,-9.4,-0.57,-0.02,0.52,0.23
19700,0.15,-9.18,-0.21,0.01,0.1,0.5
19800,-0.5,-9.14,-0.56,0.09,-0.07,0.13
19900,-0.04,-9.02,-0.69,-0.17,0.07,0.29
20000,-0.31,-9.6,-1.19,0.15,0.15,-0.31
20100,-0.4,-8.96,-1.45,-0.34,-0.03,-0.21
20200,-0.31,-10.17,-0.54,-0.07,-0.04,-0.24
20300,-0.4,-11.2,-0.45,-0.22,-0.04,0.14
20400,-0.04,-10.2,-0.41,-0.21,-0.12,0.04
20500,-0.11,-9.86,-1.24,-0.2,-0.14,0.29
20600,-0.46,-9.93,-1.37,-0.32,-0.39,-0.05
20700,-0.77,-9.11,-1.45,-0.32,-0.36,0.14
20800,-0.17,-8.62,-1.29,0,-0.32,0.16
20900,-0.87,-9.14,-1.81,0.26,0.12,0.21
21000,0.27,-9.98,-0.86,0.17,0.26,0.02
21100,0.29,-10.15,-1.67,0.23,0.37,-0.1
21200,-0.42,-10.54,-0.71,0.1,0.26,-0.46
21300,-0.29,-11.54,-0.59,-0.4,0.1,0.26
21400,0.18,-9.89,-0.8,-0.2,0.07,0.04
21500,-0.35,-10.67,-1.64,-0.11,-0.24,0.04
21600,-0.85,-9.12,-1.78,-0.64,-0.36,0.23
21700,-0.61,-9.1,-2.15,0.29,-0.08,0.28
21800,-1.03,-8.99,-1.57,0.01,0.1,-0.05
21900,-0.91,-8.52,-1.48,0.44,0.37,-0.29
22000,-1.25,-9.31,-1.43,0.11,0.43,-0.31
22100,0.15,-10.59,-1.26,0.38,0.66,-0.1
22200,0,-10.05,-1.62,-0.01,0.22,-0.45
22300,0.27,-10.55,-0.91,-0.01,-0.05,-0.23
22400,-0.26,-11.48,-0.44,-0.56,-0.14,-0.13
22500,-0.11,-10.93,-0.46,0.21,0.46,0.35
22600,0.1,-9.58,-1.89,-0.21,0.17,0.17
22700,0.1,-9.75,-0.98,-0.16,0.06,0.27
22800,-0.62,-9.71,-2.02,0.42,0.06,-0.05
22900,-0.79,-8.73,-1.51,0.05,0.04,0.02
23000,-0.67,-9.89,-1.57,0,0,0.11
23100,0.03,-10.09,-1.24,0.01,0,-0.26
23200,-0.7,-9.87,-1.62,-0.19,-0.04,-0.4
23300,-0.14,-10.5,-1.04,-0.09,-0.07,-0.18
23400,-0.37,-11.63,-1.16,-0.05,0.04,0
23500,-0.45,-11.14,-1.03,-0.3,0.13,0.03
23600,-1.1,-9.26,-1.7,-0.23,0.14,0.05
23700,0.15,-8.79,-1.66,-0.25,-0.16,0.56
23800,-0.71,-10.02,-2.32,0.33,-0.33,0
23900,-0.58,-8.33,-2.29,0.02,-0.21,0.23
24000,-0.99,-8.92,-1.51,0.2,-0.33,-0.13
24100,-0.76,-9.83,-1.44,0.2,-0.44,-0.24
24200,-0.11,-9.43,-1.8,0.23,-0.2,-0.02
24300,-0.01,-10.12,-0.91,-0.22,-0.21,-0.21
24400,0.79,-11.03,-1.32,-0.17,-0.07,-0.19
24500,0.06,-10.97,-1.92,0,-0.02,0.27
24600,-0.13,-9.55,-1.22,-0.49,-0.25,0.14
24700,-0.28,-10.09,-1.99,-0.05,-0.27,0.1
24800,-0.42,-9.58,-0.99,-0.29,-0.69,-0.14
24900,-0.55,-9.54,-1.34,0.02,-0.64,0.01
25000,0.03,-9.72,-0.9,0.27,-0.49,0
25100,0.4,-9.12,-0.94,-0.05,-0.42,-0.12
25200,0.14,-8.89,-1.46,-0.15,-0.23,-0.14
25300,0.61,-9.39,-1.21,-0.13,-0.15,-0.07
25400,0.59,-9.96,-1.39,0.06,-0.23,-0.2
25500,0.75,-10.39,-1.23,-0.1,-0.19,-0.27
25600,0.78,-11.48,-1.45,-0.03,-0.22,0.06
25700,1.32,-12.01,-1.38,-0.37,-0.61,0.38
25800,-0.3,-9.74,-1.53,0.09,-0.45,0.14
