timestamp,accX,accY,accZ,anvX,anvY,anvZ
22100,0.05,-10.4,-1.71,-0.1,-0.08,-0.02
22200,0,-10.06,-1.71,-0.05,-0.21,0
22300,0.12,-9.92,-1.86,-0.08,-0.13,0
22400,0.22,-9.97,-1.99,-0.06,-0.19,-0.03
22500,0.02,-10.12,-1.8,-0.08,-0.1,0
22600,0.25,-10.13,-2.07,-0.12,-0.1,-0.01
22700,0.24,-9.79,-1.85,-0.02,-0.14,-0.02
22800,-0.23,-10.21,-2.08,0.05,-0.23,0.04
22900,0.24,-9.85,-1.87,0.06,-0.1,-0.01
23000,0.25,-9.97,-1.86,0,-0.16,0.02
23100,0.23,-10.06,-2.26,-0.01,-0.11,0.03
23200,0.31,-9.68,-2.14,-0.02,-0.13,-0.03
23300,0.11,-9.87,-2.02,0.02,0.04,-0.06
23400,0.28,-9.68,-2.19,-0.09,-0.15,-0.04
23500,0.18,-10.01,-1.98,-0.13,0.03,-0.06
23600,0.1,-10.25,-1.78,-0.03,-0.03,0.07
23700,0.4,-9.86,-1.73,-0.04,-0.05,0.04
23800,0.34,-9.93,-1.89,0,-0.06,-0.05
23900,0.38,-9.76,-1.97,0.04,-0.12,-0.02
24000,0.33,-9.86,-2.03,0.04,-0.06,0
24100,0.18,-9.97,-1.97,-0.08,0.07,0.01
24200,0.24,-10.04,-2.42,-0.07,0.03,0.02
24300,0.2,-9.74,-1.95,0,0.08,0.01
24400,0.17,-9.79,-1.81,0.03,0.06,-0.04
24500,0.4,-9.83,-2.22,-0.04,0.07,-0.04
24600,0.23,-9.75,-1.78,-0.02,-0.04,0.01
24700,0.46,-9.68,-2,0.01,0.04,-0.08
24800,0.22,-9.77,-1.59,0.03,0.06,0.01
24900,0.19,-9.78,-1.59,-0.05,0.13,-0.08
25000,0.25,-9.78,-1.8,0.05,0.09,-0.02
25100,0.41,-9.79,-2.04,0.08,0.16,-0.04
25200,0.11,-9.94,-1.73,-0.02,0.17,-0.1
25300,0.21,-9.95,-1.84,0,0.26,-0.14
25400,0.2,-9.92,-1.7,0.02,0.14,0.02
25500,0.61,-9.91,-1.73,-0.01,0.16,0.04
25600,0.39,-9.67,-1.47,0.02,0.15,-0.01
25700,0.33,-9.98,-1.66,0.01,0.12,-0.03
25800,0.22,-10.13,-1.62,-0.04,0.08,0.03
25900,0.24,-9.97,-1.7,-0.01,0.23,0.07
26000,0.39,-9.88,-1.79,-0.02,0.19,0.07
26100,0.19,-10.19,-1.51,0.07,0.1,0.04
26200,0.07,-10.2,-1.59,-0.02,0.14,0.03
26300,0.31,-9.94,-1.1,-0.02,0.08,0.06
26400,0.27,-9.86,-1.01,0.16,-0.13,-0.01
26500,0.32,-9.96,-1.37,0.1,0.03,0
26600,0.07,-10.22,-2.44,-0.1,0.16,0.01
26700,0.18,-10.28,-1.71,-0.06,0.19,-0.01
26800,-0.17,-9.78,-0.96,-0.01,0.17,0.05
26900,-0.14,-9.94,-1.09,-0.05,0.14,0.1
27000,0.1,-9.82,-1.33,0.09,0.03,0.08
27100,0.23,-9.77,-1.26,-0.02,0.15,0.02
27200,-0.1,-10.01,-1,0.03,0.14,0.06
27300,0,-9.86,-1.29,-0.02,0.16,0.01
27400,-0.01,-9.74,-1.19,0.08,0.09,0.01
27500,0.1,-9.69,-0.99,0.07,0,-0.09
27600,-0.09,-10.11,-1.18,0.03,0.1,-0.04
27700,0.1,-9.53,-1.21,0.04,0.03,-0.06
