timestamp,accX,accY,accZ,anvX,anvY,anvZ
21000,0.29,-9.97,-1.65,-0.03,0.01,0
21100,0.33,-9.91,-1.56,-0.03,0.01,0
21200,0.32,-9.85,-1.67,-0.03,0.01,0
21300,0.29,-9.91,-1.56,-0.03,0.01,0
21400,0.36,-9.9,-1.65,-0.03,0.01,0
21500,0.34,-9.97,-1.62,-0.03,0.01,0
21600,0.29,-9.89,-1.7,-0.03,0.01,0
21700,0.3,-9.92,-1.55,-0.03,0.01,0
21800,0.31,-9.88,-1.58,-0.03,0.01,0
21900,0.31,-9.91,-1.54,-0.03,0.01,0
22000,0.26,-9.91,-1.71,-0.03,0.01,0
22100,0.28,-9.93,-1.63,-0.03,0.01,0
22200,0.31,-9.92,-1.58,-0.03,0.01,0
22300,0.32,-9.96,-1.59,-0.03,0.01,0
22400,0.3,-9.95,-1.71,-0.03,0.01,0
22500,0.34,-9.9,-1.65,-0.03,0.01,0
22600,0.27,-9.83,-1.65,-0.03,0.01,0
22700,0.26,-9.92,-1.61,-0.03,0.01,0
22800,0.34,-9.88,-1.68,-0.03,0.01,0
22900,0.34,-9.92,-1.61,-0.03,0.01,0
23000,0.25,-9.87,-1.66,-0.03,0.01,0
23100,0.34,-9.93,-1.65,-0.03,0.01,0
23200,0.36,-9.9,-1.58,-0.03,0.01,0
23300,0.33,-9.94,-1.59,-0.03,0.01,0
23400,0.27,-9.9,-1.56,-0.03,0.01,0
23500,0.32,-9.91,-1.56,-0.03,0.01,0
23600,0.31,-9.88,-1.59,-0.03,0.01,0
23700,0.3,-9.91,-1.57,-0.03,0.01,0
23800,0.31,-9.95,-1.57,-0.03,0.01,0
23900,0.38,-9.96,-1.59,-0.03,0.01,0
24000,0.31,-9.88,-1.79,-0.03,0.01,0
24100,0.3,-9.92,-1.66,-0.03,0.01,0
24200,0.26,-9.92,-1.61,-0.03,0.01,0
24300,0.28,-9.95,-1.61,-0.03,0.01,0
24400,0.3,-9.92,-1.6,-0.03,0.01,0
24500,0.32,-9.92,-1.69,-0.03,0.01,0
24600,0.34,-9.85,-1.63,-0.03,0.01,0
24700,0.33,-9.93,-1.57,-0.03,0.01,0
24800,0.33,-9.96,-1.58,-0.03,0.01,0
24900,0.33,-9.85,-1.61,-0.03,0.01,0
25000,0.28,-9.92,-1.58,-0.03,0.01,0
25100,0.34,-9.91,-1.61,-0.03,0.01,0
25200,0.33,-9.9,-1.58,-0.03,0.01,0
25300,0.27,-9.93,-1.57,-0.03,0.01,0
25400,0.34,-9.93,-1.68,-0.03,0.01,0
25500,0.36,-9.91,-1.61,-0.03,0.01,0
25600,0.34,-9.89,-1.61,-0.03,0.01,0
25700,0.32,-9.9,-1.59,-0.03,0.01,0
25800,0.33,-9.88,-1.56,-0.03,0.01,0
25900,0.36,-9.95,-1.61,-0.03,0.01,0
26000,0.26,-9.88,-1.53,-0.03,0.01,0
26100,0.32,-9.85,-1.72,-0.03,0.01,0
26200,0.28,-9.95,-1.55,-0.03,0.01,0
26300,0.26,-9.92,-1.62,-0.03,0.01,0
26400,0.3,-9.92,-1.65,-0.03,0.01,0
26500,0.34,-9.93,-1.71,-0.03,0.01,0
26600,0.31,-9.92,-1.66,-0.03,0.01,0
26700,0.3,-9.94,-1.69,-0.03,0.01,0
26800,0.28,-9.94,-1.6,-0.03,0.01,0
26900,0.34,-9.93,-1.55,-0.03,0.01,0
27000,0.26,-9.93,-1.65,-0.03,0.01,0
27100,0.26,-9.91,-1.55,-0.03,0.01,0
27200,0.26,-9.9,-1.58,-0.03,0.01,0
27300,0.33,-9.93,-1.62,-0.03,0.01,0
27400,0.32,-9.92,-1.52,-0.03,0.01,0
27500,0.37,-9.93,-1.59,-0.03,0.01,0
27600,0.31,-9.92,-1.6,-0.03,0.01,0
27700,0.35,-9.87,-1.65,-0.03,0.01,0
27800,0.26,-9.86,-1.6,-0.03,0.01,0
27900,0.34,-9.91,-1.64,-0.03,0.01,0
28000,0.37,-9.88,-1.63,-0.03,0.01,0
28100,0.32,-9.89,-1.59,-0.03,0.01,0
28200,0.27,-9.95,-1.67,-0.03,0.01,0
28300,0.38,-9.89,-1.62,-0.03,0.01,0
28400,0.32,-9.92,-1.59,-0.03,0.01,0
28500,0.29,-9.89,-1.67,-0.03,0.01,0
28600,0.38,-9.88,-1.58,-0.03,0.01,0
28700,0.31,-9.89,-1.66,-0.03,0.01,0
28800,0.31,-9.89,-1.58,-0.03,0.01,0
28900,0.31,-9.91,-1.65,-0.03,0.01,0
29000,0.25,-9.93,-1.64,-0.03,0.01,0
29100,0.3,-9.94,-1.58,-0.03,0.01,0
29200,0.3,-9.9,-1.59,-0.03,0.01,0
29300,0.35,-9.9,-1.7,-0.03,0.01,0
29400,0.32,-9.9,-1.59,-0.03,0.01,0
29500,0.34,-9.96,-1.56,-0.03,0.01,0
29600,0.34,-9.92,-1.57,-0.03,0.01,0
29700,0.3,-9.96,-1.6,-0.03,0.01,0
29800,0.29,-9.89,-1.67,-0.03,0.01,0.01
29900,0.32,-9.92,-1.52,-0.03,0.01,0
30000,0.33,-9.91,-1.57,-0.03,0.01,0
30100,0.31,-9.84,-1.56,-0.03,0.01,0
30200,0.32,-9.92,-1.61,-0.03,0.01,0
30300,0.29,-9.91,-1.64,-0.03,0.01,0
30400,0.36,-9.91,-1.65,-0.03,0.01,0
30500,0.3,-9.93,-1.71,-0.03,0.01,0
30600,0.3,-9.89,-1.62,-0.03,0.01,0
30700,0.36,-9.92,-1.54,-0.03,0.01,0
30800,0.33,-9.96,-1.62,-0.03,0.01,0
30900,0.35,-9.93,-1.64,-0.03,0.01,0
31000,0.32,-9.89,-1.62,-0.03,0.01,0
31100,0.3,-9.89,-1.56,-0.03,0.01,0
31200,0.27,-9.94,-1.65,-0.03,0.01,0
31300,0.28,-9.92,-1.56,-0.03,0.01,0
31400,0.23,-9.91,-1.7,-0.03,0.01,0
31500,0.34,-9.91,-1.59,-0.03,0.01,0
31600,0.32,-9.9,-1.57,-0.03,0.01,0
31700,0.35,-9.9,-1.6,-0.03,0.01,0
31800,0.26,-9.87,-1.65,-0.03,0.01,0.01
31900,0.34,-9.93,-1.64,-0.03,0.01,0
32000,0.3,-9.92,-1.67,-0.03,0.01,0
32100,0.28,-9.92,-1.5,-0.03,0.01,0
32200,0.4,-9.91,-1.6,-0.03,0.01,0
32300,0.31,-9.92,-1.61,-0.03,0.01,0
32400,0.3,-9.92,-1.62,-0.03,0.01,0
32500,0.29,-9.89,-1.62,-0.03,0.01,0
32600,0.32,-9.94,-1.63,-0.03,0.01,0
32700,0.32,-9.93,-1.64,-0.03,0.01,0
32800,0.32,-9.92,-1.6,-0.03,0.01,0
32900,0.26,-9.91,-1.58,-0.03,0.01,0
33000,0.3,-9.94,-1.56,-0.03,0.01,0
33100,0.37,-9.91,-1.66,-0.03,0.01,0
33200,0.32,-9.85,-1.63,-0.03,0.01,0
33300,0.29,-9.92,-1.6,-0.03,0.01,0
33400,0.37,-9.92,-1.53,-0.03,0.01,0
33500,0.32,-9.9,-1.58,-0.03,0.01,0
33600,0.25,-9.91,-1.68,-0.03,0.01,0
33700,0.35,-9.94,-1.57,-0.03,0.01,0
33800,0.29,-9.85,-1.67,-0.03,0.01,0
33900,0.3,-9.94,-1.65,-0.03,0.01,0
34000,0.31,-9.95,-1.71,-0.03,0.01,0
34100,0.3,-9.9,-1.56,-0.03,0.01,0
34200,0.32,-9.94,-1.65,-0.03,0.01,0
34300,0.31,-9.9,-1.65,-0.03,0.01,0
34400,0.29,-9.96,-1.64,-0.03,0.01,0
34500,0.33,-9.94,-1.7,-0.03,0.01,0
34600,0.29,-9.9,-1.56,-0.03,0.01,0
34700,0.27,-10,-1.61,-0.03,0.01,0
34800,0.3,-9.9,-1.61,-0.03,0.01,0
34900,0.28,-9.97,-1.56,-0.03,0.01,0
35000,0.29,-9.87,-1.63,-0.03,0.01,0
35100,0.31,-9.91,-1.64,-0.03,0.01,0
35200,0.32,-9.98,-1.67,-0.03,0.01,0
35300,0.32,-9.95,-1.64,-0.03,0.01,0
35400,0.33,-9.87,-1.62,-0.03,0.01,0
35500,0.33,-9.84,-1.62,-0.03,0.01,0
35600,0.3,-9.98,-1.65,-0.03,0.01,0
35700,0.28,-9.87,-1.61,-0.03,0.01,0
35800,0.32,-9.9,-1.7,-0.03,0.01,0
35900,0.33,-9.95,-1.67,-0.03,0.01,0
36000,0.29,-9.92,-1.63,-0.03,0.01,0
36100,0.25,-9.87,-1.69,-0.03,0.01,0.01
36200,0.3,-9.96,-1.64,-0.03,0.01,0
36300,0.35,-9.9,-1.62,-0.03,0.01,0
36400,0.28,-9.87,-1.61,-0.03,0.01,0
36500,0.37,-9.88,-1.57,-0.03,0.01,0
36600,0.36,-9.88,-1.61,-0.03,0.01,0
36700,0.35,-9.9,-1.61,-0.03,0.01,0
